loan_id,client_id,loan_amount,interest_rate,loan_date
187,77652,173632.33,7.75,2024-09-18
188,43878,175594.24,2.46,2024-06-02
189,97215,467359.46,4.75,2023-02-20
190,43721,357935.07,2.04,2022-04-30
191,37973,264047.61,4.9,2024-04-09
192,78197,20539.26,6.68,2021-02-03
193,18683,226926.11,6.51,2022-08-24
194,85245,116214.79,5.57,2024-08-24
195,44633,300523.83,9.16,2022-06-16
196,38940,243844.2,5.06,2022-12-31
197,51775,316639.2,5.92,2024-02-13
198,52189,47749.04,8.61,2022-01-20
199,36505,161970.04,4.85,2023-12-30
200,7135,393264.02,9.91,2024-03-19
201,10219,84059.07,9.11,2023-10-01
202,83292,320420.31,4.68,2020-08-04
203,40314,339541.56,3.48,2022-11-24
204,9083,319619.84,6.85,2024-12-25
205,8084,437625.87,8.75,2022-04-18
206,31663,246214.86,9.41,2021-09-15
207,49285,213299.19,2.81,2021-02-10
208,12566,430145.62,4.8,2023-07-10
209,24157,368751.3,9.31,2022-07-25
210,27583,449151.62,6.7,2022-12-20
211,61463,193656.52,6.46,2024-06-07
212,3813,216047.36,5.41,2021-08-08
213,5111,490551.74,7.06,2023-06-18
214,89823,168576.68,2.79,2022-04-02
215,38579,313296.0,5.23,2024-10-09
216,32086,392575.81,9.88,2021-04-22
217,3266,18590.73,9.92,2022-08-27
218,16451,423765.72,3.29,2020-07-05
219,78316,461394.59,9.38,2020-06-19
220,48970,219105.13,9.83,2025-02-06
221,65477,303895.82,9.66,2021-10-10
222,75415,369769.2,8.56,2021-03-07
223,1470,20648.98,9.46,2021-12-06
224,79184,61900.16,2.8,2024-05-19
225,20516,146093.7,2.8,2020-06-15
226,57412,292591.12,8.01,2022-06-29
227,31241,20916.22,9.05,2024-07-10
228,9089,11711.7,4.01,2024-02-07
229,37311,242120.75,6.69,2023-10-27
230,5209,451025.95,3.3,2022-06-07
231,46732,380052.89,4.95,2023-07-29
232,15883,265838.31,4.69,2021-10-25
233,25868,419273.43,8.88,2022-05-23
234,8715,89132.6,7.67,2024-08-01
235,49493,198807.74,5.69,2024-07-08
236,1093,37977.04,2.48,2020-12-12
237,27889,289531.15,5.19,2021-01-28
238,33871,490406.2,8.77,2020-11-06
239,48674,349702.21,9.98,2021-10-30
240,44537,130696.9,2.22,2024-12-28
241,78056,476533.62,8.89,2024-04-29
242,56816,166641.68,2.79,2023-05-10
243,93820,217034.75,2.41,2021-11-01
244,34882,490518.92,8.64,2020-12-26
245,80852,106542.9,5.74,2023-03-08
246,8369,421395.89,3.89,2022-05-30
247,68507,119293.45,2.45,2024-11-05
248,40846,346893.4,6.91,2024-11-27
249,27250,91151.84,3.13,2022-08-10
250,78485,291798.66,9.23,2021-07-02
251,77311,425882.69,3.74,2020-06-21
252,73139,311165.38,9.41,2022-12-15
253,66280,287989.23,2.53,2022-09-04
254,38813,77804.37,6.31,2021-11-29
255,24367,215304.78,2.75,2024-05-19
256,89139,133112.55,2.23,2022-03-21
257,22542,233206.0,8.58,2020-10-28
258,33550,440745.16,6.58,2024-08-28
259,56197,332209.59,9.32,2022-05-22
260,57518,110806.6,2.52,2021-12-27
261,39805,100635.74,2.62,2021-09-24
262,7486,102764.87,7.01,2022-05-22
263,76369,273850.26,5.79,2021-07-22
264,68974,61879.54,9.75,2020-09-06
265,42437,404375.44,6.68,2025-02-09
266,21434,155473.15,7.3,2021-06-24
267,67262,402808.8,3.43,2025-03-10
268,48119,52996.89,8.14,2024-11-08
269,35459,115879.25,3.28,2024-06-25
270,22063,291351.25,4.37,2023-12-26
271,19201,349867.47,9.54,2021-07-28
272,48630,62364.4,7.15,2024-03-15
273,62954,411000.45,9.73,2021-11-09
274,21941,481268.49,4.51,2021-10-02
275,71742,343268.74,3.41,2022-12-03
276,56541,219528.12,4.4,2020-05-21
277,47331,409493.72,4.95,2024-12-20
278,16040,321253.59,2.95,2023-06-26
279,89483,179142.56,5.44,2025-02-20
280,96943,157278.12,4.5,2020-12-07
281,79287,208092.94,7.59,2025-02-05
282,68729,37219.06,7.54,2022-05-05
283,7536,64437.79,4.43,2021-10-24
284,33555,393355.24,3.54,2022-11-27
285,78332,262432.67,5.59,2024-03-20
286,69607,79578.06,4.74,2024-03-14
287,28064,488424.67,4.61,2021-05-19
288,69089,433749.7,4.06,2022-05-19
289,61296,34165.24,8.93,2023-06-14
290,1304,415999.86,7.87,2022-04-03
291,7987,178341.27,7.64,2021-06-25
292,84550,495293.51,8.59,2025-01-03
293,43579,118205.67,3.44,2022-07-30
294,49931,369645.38,6.49,2024-09-18
295,65911,228195.53,7.41,2020-03-24
296,75722,112602.85,9.24,2023-12-17
297,11184,485168.36,9.27,2024-11-25
298,67942,15068.58,3.41,2025-02-18
299,37507,475391.15,9.45,2024-02-28
300,21374,139149.74,3.71,2023-11-27
301,55705,184327.82,7.24,2023-05-23
302,69589,229735.0,6.57,2023-02-05
303,79410,36491.58,6.97,2023-07-05
304,54565,440169.83,5.02,2023-08-14
305,51544,234613.99,2.68,2021-06-24
306,99365,106166.62,2.81,2021-06-12
307,35614,222059.41,8.8,2024-01-06
308,13010,85774.49,9.25,2023-07-07
309,32770,408547.46,5.99,2024-03-04
310,4892,75484.86,2.34,2020-07-30
311,32473,299127.63,2.06,2020-07-22
312,45129,249808.78,8.12,2021-06-10
313,30125,490453.8,5.58,2025-03-16
314,70211,295903.57,9.62,2022-03-10
315,40565,172755.87,2.09,2024-01-05
316,4820,62300.69,4.19,2022-03-16
317,51754,94606.11,5.94,2023-05-11
318,58333,155470.74,3.38,2022-02-06
319,15018,491023.19,2.17,2023-11-21
320,13304,313897.11,2.7,2022-10-05
321,39448,116657.93,2.89,2024-03-11
322,52081,3231.15,7.82,2023-07-25
323,28899,361054.07,5.9,2023-01-10
324,46567,89333.63,5.92,2023-08-08
325,27074,291400.25,9.03,2021-04-11
326,26892,116790.75,8.27,2021-12-28
327,70598,233343.65,6.66,2022-05-09
328,94084,228113.29,8.76,2024-12-29
329,42082,99197.08,9.33,2021-11-14
330,14933,211635.03,7.21,2022-03-15
331,50363,94898.17,7.14,2024-02-14
332,12231,74068.54,9.88,2020-04-21
333,98710,288416.59,8.37,2020-11-21
334,78354,259904.79,7.86,2023-12-02
335,9269,486297.37,9.32,2024-05-31
336,46248,155353.34,5.78,2021-12-06
337,61186,97848.06,4.3,2023-09-06
338,9032,309296.8,4.21,2021-10-28
339,79502,391800.02,5.57,2020-05-17
340,80189,38854.49,6.22,2022-09-09
341,81304,457302.47,3.23,2022-10-17
342,64322,267298.87,6.36,2023-09-18
343,25268,288931.44,6.9,2021-12-21
344,66652,57619.15,8.94,2025-01-08
345,41685,397337.16,5.66,2020-03-27
346,77358,393563.42,8.71,2023-02-06
347,95436,489968.73,2.83,2020-05-07
348,94224,301063.99,9.8,2024-05-13
349,7685,140352.44,3.43,2024-05-24
350,62167,385052.76,9.91,2020-04-21
351,44637,278417.99,3.13,2023-02-06
352,12768,421394.16,2.22,2021-02-19
353,25053,74368.07,5.72,2022-09-21
354,74186,229301.85,8.51,2021-11-08
355,42616,202427.22,5.72,2021-08-06
356,62878,133814.12,6.27,2021-05-28
357,15639,148432.89,2.72,2022-09-20
358,50706,469679.89,9.73,2024-09-01
359,88119,302243.74,2.72,2021-09-15
360,36426,330353.93,5.67,2024-06-29
361,94267,243962.73,2.9,2022-04-03
362,95257,256518.15,5.04,2024-04-29
363,13978,172367.27,6.78,2025-01-01
364,91487,136778.33,2.33,2021-03-19
365,44655,149643.48,7.13,2021-05-09
366,5631,394201.99,5.56,2020-05-16
367,92327,29047.87,8.39,2021-11-14
368,45133,256319.43,5.05,2021-12-13
369,83406,445771.41,5.0,2020-11-23
370,66814,452664.2,8.22,2024-07-24
371,27225,163876.75,8.43,2024-07-10
372,36123,362883.95,6.15,2020-05-03
373,13345,390307.99,3.29,2024-06-10
374,82900,18758.21,4.81,2023-03-23
375,72732,204164.94,3.73,2022-04-08
376,52162,15937.75,5.05,2021-06-25
377,21561,276464.23,3.86,2023-05-27
378,42165,104451.46,8.41,2022-04-28
379,9862,59926.15,7.17,2023-02-13
380,93873,444752.0,3.91,2023-01-26
381,26262,176589.79,5.64,2021-10-04
382,61099,340216.6,8.8,2024-10-06
383,99312,352070.07,9.06,2022-02-26
384,4262,455273.24,2.76,2021-08-14
385,72171,29843.31,8.07,2021-12-25
386,74351,14806.9,7.05,2021-11-10
387,99302,80251.26,7.32,2024-05-04
388,75219,467406.35,7.61,2022-03-03
389,53327,285087.25,9.15,2023-08-09
390,82735,443605.8,6.62,2022-03-04
391,54198,389295.38,9.3,2022-05-04
392,48052,321738.17,7.48,2020-09-03
393,99007,229219.44,9.7,2022-06-22
394,82119,11596.52,2.18,2023-10-30
395,90133,15286.3,3.16,2021-06-02
396,43248,348066.49,8.91,2021-02-23
397,43731,17874.29,3.48,2022-02-23
398,69633,432837.68,3.89,2022-08-18
399,25118,137104.24,7.5,2022-10-02
400,65835,75219.74,9.3,2023-02-19
401,92382,291455.46,7.4,2023-03-25
402,7316,420093.98,3.46,2023-09-13
403,34331,269648.87,6.93,2023-12-31
404,61515,125777.02,9.84,2022-06-26
405,52408,210091.1,8.49,2023-05-27
406,65695,362079.92,7.61,2025-02-19
407,89220,432048.95,4.9,2023-09-30
408,29123,41089.32,8.65,2022-08-30
409,83998,261148.96,4.03,2021-08-24
410,28228,459212.6,7.05,2025-02-04
411,94571,107112.08,9.57,2023-04-17
412,182,396424.56,6.99,2024-08-21
413,87947,225165.4,4.65,2024-12-13
414,28669,148045.65,8.96,2023-04-13
415,57957,469220.43,4.68,2025-02-07
416,47630,391679.11,3.1,2023-09-14
417,85187,351631.15,8.03,2021-12-02
418,13109,208123.63,3.71,2022-04-09
419,88535,476716.19,8.77,2020-08-14
420,18301,26694.35,9.23,2024-02-08
421,64378,233529.7,9.83,2022-01-23
422,73957,269311.79,9.85,2020-05-01
423,36633,174537.98,2.47,2021-07-03
424,9412,421064.61,6.6,2021-04-01
425,41692,489665.14,9.61,2025-02-21
426,83588,477577.9,3.33,2020-06-11
427,91094,247993.59,8.97,2022-09-11
428,70674,452676.64,2.75,2022-04-30
429,12792,342866.59,3.32,2023-02-10
430,83818,475404.59,4.11,2020-09-02
431,82144,351158.3,6.32,2024-08-14
432,2138,303956.56,2.41,2022-06-27
433,21762,276189.71,4.51,2020-05-30
434,97481,29016.7,5.7,2021-01-19
435,15342,201842.55,8.88,2020-09-01
436,34849,257800.13,4.65,2022-08-11
437,20472,141035.11,6.69,2022-07-28
438,14376,446406.49,2.71,2022-03-27
439,33955,428041.96,3.18,2020-04-03
440,65456,71395.01,4.14,2021-11-07
441,86504,204741.37,3.73,2022-05-07
442,41237,310904.35,7.17,2021-07-24
443,16449,191247.33,9.44,2021-02-23
444,20843,14030.73,8.94,2023-08-23
445,91578,291002.63,8.73,2024-07-25
446,72895,475694.75,3.25,2023-12-22
447,87026,207322.22,8.44,2025-01-29
448,97374,133724.95,2.11,2024-11-06
449,79874,262232.43,3.68,2021-07-27
450,33511,430120.39,7.89,2021-12-23
451,1411,108234.75,6.94,2022-10-12
452,33875,463190.74,8.25,2020-04-09
453,87956,97972.43,5.02,2021-12-16
454,15034,174033.67,4.86,2020-11-27
455,12605,17097.72,2.63,2024-01-09
456,76015,317802.08,8.64,2022-02-07
457,1141,92008.35,6.47,2021-04-11
458,43728,225237.08,7.62,2020-11-16
459,9094,146457.02,9.43,2023-01-21
460,12193,489073.33,6.62,2022-01-08
461,69119,227008.11,9.03,2024-04-15
462,92540,466873.2,2.52,2024-02-15
463,74866,11640.58,4.41,2021-02-06
464,35005,259547.33,5.33,2021-07-18
465,80234,7971.63,2.93,2023-06-03
466,87979,251210.72,9.45,2021-11-18
467,87066,259736.27,8.72,2024-02-23
468,59355,337078.83,2.87,2020-12-25
469,90296,338878.9,5.59,2022-08-09
470,3344,65579.75,5.61,2024-02-06
471,4529,146386.88,5.59,2022-03-25
472,99675,142858.74,7.37,2024-10-24
473,75218,240143.16,7.44,2020-04-19
474,65909,66517.31,4.51,2023-11-11
475,11874,313612.06,8.33,2025-01-14
476,90874,316359.3,6.28,2021-01-07
477,40812,308175.7,2.96,2022-10-21
478,94539,288668.04,5.1,2024-05-05
479,90439,465005.8,5.28,2021-10-16
480,22832,295769.99,3.54,2021-01-04
481,70418,68017.41,9.86,2025-03-18
482,43660,399642.37,3.37,2024-06-16
483,99682,434521.85,8.76,2023-07-31
484,59187,351277.09,6.29,2021-07-01
485,17068,158025.47,5.18,2020-07-25
486,86063,470413.03,2.97,2020-05-11
487,22663,248252.91,3.65,2023-11-07
488,88406,365020.79,7.28,2024-09-25
489,24639,396968.95,7.51,2024-12-24
490,36986,445088.82,4.56,2023-09-29
491,21196,257589.82,4.07,2022-10-04
492,93927,435908.32,2.28,2022-01-03
493,75774,404023.97,8.6,2020-06-26
494,50667,208766.43,7.85,2020-10-19
495,95196,490425.92,8.19,2021-08-06
496,63587,166810.94,9.28,2024-04-23
497,48747,44459.06,6.14,2023-06-04
498,11996,44683.75,3.49,2021-10-24
499,74940,29262.63,5.42,2021-02-17
500,43089,277074.8,2.42,2020-07-22
501,59198,110505.92,6.61,2020-07-20
502,83699,388335.35,2.53,2020-12-16
503,95284,76447.57,4.08,2024-01-17
504,2689,166134.1,4.84,2023-07-08
505,78770,165585.06,6.37,2023-07-08
506,82182,108877.14,5.64,2024-12-05
507,97839,137755.72,4.28,2020-08-08
508,67746,248836.88,6.55,2023-11-18
509,69130,166946.97,5.95,2023-07-23
510,19396,184431.48,3.28,2023-09-18
511,31179,425256.68,4.61,2023-08-09
512,32214,65297.95,4.42,2024-03-07
513,14666,309230.38,6.41,2024-08-23
514,67948,374460.31,7.6,2023-04-23
515,86655,10168.19,7.76,2021-04-21
516,454,464640.07,4.27,2022-12-30
517,38944,227681.82,2.8,2020-08-17
518,74032,244736.59,5.28,2024-06-19
519,40276,23471.73,6.3,2020-12-30
520,4635,429430.6,2.23,2022-02-01
521,43195,342703.87,3.67,2021-04-08
522,34980,288144.2,7.92,2022-06-08
523,98268,61551.33,5.65,2024-03-16
524,36840,473635.32,2.71,2022-10-10
525,94483,378315.43,6.49,2021-05-20
526,57566,73261.61,6.75,2020-07-29
527,16658,356255.25,3.82,2021-12-11
528,95346,378825.87,6.52,2023-07-23
529,45777,366125.97,3.29,2025-02-27
530,50595,239668.78,9.19,2022-10-31
531,72003,462103.33,4.69,2022-08-31
532,54852,388982.56,4.18,2022-04-13
533,4192,296599.62,6.91,2021-02-17
534,45011,24125.83,8.85,2020-06-06
535,44034,169041.58,9.02,2022-08-06
536,55491,122558.58,5.63,2023-05-03
537,28973,271989.46,9.82,2022-02-12
538,36952,437743.25,3.22,2022-08-21
539,19841,211115.89,5.19,2021-11-24
540,54547,82023.56,6.42,2021-05-18
541,14355,481242.49,7.19,2020-03-26
542,37337,389314.29,9.28,2023-06-14
543,45817,347253.97,2.01,2022-12-23
544,78704,158336.78,5.77,2020-04-19
545,20081,27722.79,4.25,2024-03-28
546,13911,44437.1,8.66,2022-11-16
547,30256,8455.16,5.08,2023-05-27
548,93996,109617.64,7.6,2020-03-30
549,43519,256751.6,6.08,2023-12-08
550,16782,233785.2,4.14,2023-05-24
551,84397,38405.38,5.72,2020-08-20
552,21989,455448.69,7.12,2024-03-01
553,59388,466983.39,7.86,2024-10-05
554,49721,67584.1,2.8,2021-07-08
555,846,147212.53,4.4,2023-02-15
556,21136,251591.8,7.83,2020-04-28
557,31375,436658.69,3.46,2022-04-23
558,50688,265547.96,7.08,2023-09-07
559,37091,135961.93,5.36,2021-03-12
560,70415,236653.02,7.45,2024-06-12
561,87098,130319.43,2.33,2023-05-30
562,5248,220062.82,8.6,2021-11-25
563,2574,159979.63,6.44,2024-12-13
564,65460,81390.11,5.32,2022-01-20
565,15006,483809.47,7.77,2020-09-06
566,34741,224496.07,5.1,2021-01-14
567,94056,105935.99,3.33,2020-12-28
568,77420,217195.64,8.25,2020-10-20
569,22195,319503.54,8.52,2023-08-19
570,57793,175084.2,5.79,2024-02-28
571,77747,403176.89,9.4,2021-12-30
572,9127,266747.78,9.89,2024-01-23
573,9949,444285.86,8.86,2024-03-19
574,77947,206374.36,3.08,2022-08-24
575,89006,264587.39,5.67,2023-03-10
576,52942,27623.56,5.29,2022-06-29
577,95848,102460.12,5.18,2024-12-26
578,73248,193411.96,8.2,2021-01-13
579,57394,492073.59,2.75,2022-10-28
580,16153,426402.42,9.88,2024-12-09
581,21344,382016.11,8.24,2022-01-13
582,17933,106473.36,2.57,2022-10-08
583,44474,75751.62,3.36,2023-09-08
584,40034,243534.65,6.51,2025-03-11
585,42312,76618.55,2.79,2020-09-23
586,60721,339266.35,9.92,2022-01-31
587,14919,320690.18,6.93,2023-09-16
588,43671,480589.14,5.22,2021-02-13
589,91419,72628.86,9.41,2024-10-30
590,80886,285927.19,3.78,2024-07-04
591,35808,234170.72,5.22,2020-12-19
592,96558,39476.11,7.86,2024-03-25
593,87228,295847.1,7.57,2023-01-18
594,89083,326078.82,2.86,2023-12-27
595,55148,453488.79,9.04,2023-05-23
596,91548,83634.11,2.34,2021-03-07
597,10803,130845.9,3.75,2024-02-21
598,23166,61080.93,5.98,2023-08-22
599,58697,230480.24,9.87,2023-12-05
600,92256,167284.47,8.06,2023-02-10
601,28027,317225.39,5.39,2023-04-16
602,61408,310909.52,5.17,2022-05-04
603,8789,269101.08,2.31,2023-04-22
604,31835,154260.14,4.49,2020-07-31
605,54305,145481.4,6.13,2024-07-10
606,95519,97910.03,6.37,2022-02-20
607,72447,230006.66,3.7,2024-02-26
608,2495,228387.15,6.59,2024-07-29
609,23543,197278.07,6.87,2021-11-26
610,35828,465205.27,9.53,2022-12-13
611,41490,133064.14,6.24,2022-07-11
612,22850,396711.85,5.22,2024-02-25
613,12493,428444.85,3.15,2023-01-27
614,61513,40476.91,6.18,2021-11-10
615,65812,445869.52,8.52,2021-02-28
616,66864,369610.85,7.02,2024-05-12
617,29283,152931.93,9.65,2021-04-03
618,70859,61763.0,8.38,2021-08-15
619,87220,200710.86,4.64,2024-05-12
620,77090,153110.08,6.97,2024-09-10
621,28991,339575.77,3.5,2022-01-12
622,82944,260333.8,3.83,2024-01-31
623,22733,307447.15,2.99,2023-02-07
624,59138,317229.67,8.44,2020-04-18
625,43081,415175.6,5.3,2022-11-09
626,97644,334690.89,6.59,2021-02-06
627,62160,35191.43,3.97,2023-10-10
628,90365,169813.55,8.22,2021-11-29
629,37525,419091.33,7.83,2024-05-26
630,31441,27196.41,3.08,2024-01-09
631,78084,59933.09,5.73,2020-04-11
632,42594,139034.26,6.17,2022-05-21
633,26073,351098.92,2.03,2022-06-21
634,29905,304203.41,7.71,2024-08-19
635,32743,415757.84,3.91,2024-06-03
636,46734,122098.82,3.03,2023-01-15
637,33377,497878.07,9.01,2022-10-04
638,2140,77098.27,7.02,2022-09-17
639,84798,349620.66,7.72,2024-08-29
640,2246,205405.68,7.59,2020-04-15
641,3103,10425.96,4.18,2024-12-11
642,2373,166080.74,2.63,2020-07-15
643,48563,251713.22,4.88,2024-11-23
644,55580,463256.05,7.43,2023-06-01
645,95295,112012.02,4.48,2024-09-20
646,63898,254721.77,4.59,2022-11-22
647,34372,144676.11,3.15,2021-02-07
648,11985,14166.69,7.43,2021-06-09
649,58169,207956.83,9.29,2023-10-14
650,38864,78637.71,5.77,2021-06-09
651,43625,290327.98,5.74,2024-01-27
652,57869,231831.15,7.29,2023-10-02
653,29190,451404.0,7.68,2021-04-13
654,3959,66674.98,6.56,2024-11-13
655,30108,294659.7,8.2,2024-07-01
656,1779,478235.28,3.13,2022-01-29
657,64443,381052.78,2.29,2024-11-18
658,34089,269597.49,8.3,2021-10-29
659,7282,315470.58,8.17,2021-07-07
660,2353,296600.03,9.54,2024-06-10
661,89079,405595.87,8.81,2022-02-26
662,56124,168523.58,6.84,2024-03-01
663,70,150599.65,2.67,2022-10-19
664,87583,215911.85,7.48,2023-09-19
